subject_id,comp_id,comp_index,condition,age_years,age_uncertainty,prop_type,city_province,lot_size_sqft,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,sale_price,sale_date,has_lot_size_uncertainty,has_gla_uncertainty,has_additional_bedrooms
0,0_0,0,Excellent,49.0,False,Townhouse,Kingston ON K7M 6V1,,1044.0,3,0,3,2,0,2.0,378900.0,2024-10-25,True,False,False
0,0_1,1,Fair,49.0,False,Townhouse,Kingston ON K7M 6X7,,1044.0,3,0,3,1,0,1.0,327000.0,2025-02-05,True,False,False
0,0_2,2,Fair,49.0,False,Townhouse,Kingston ON K7M 6X6,,1044.0,3,0,3,2,0,2.0,315000.0,2025-02-14,True,False,False
1,1_0,0,Average,11.0,True,Detached,Porters Lake NS B3E 1P3,80212.0,1602.0,3,0,3,2,0,2.0,800000.0,2025-01-16,True,True,False
1,1_1,1,Good,11.0,True,Detached,East Lawrencetown NS B2Z 1T6,61700.0,2100.0,3,0,3,2,0,2.0,950000.0,2024-12-21,True,True,False
1,1_2,2,Good,12.0,True,Detached,Head of Jeddore NS B0J 1P0,48200.0,1662.0,2,0,2,2,0,2.0,829900.0,2024-11-23,True,True,False
2,2_0,0,Excellent,58.0,True,Detached,Ayr ON N0B 1E0,15116.0,2003.0,4,0,4,2,1,2.5,1150000.0,2025-03-26,False,False,False
2,2_1,1,Excellent,1.0,True,Detached,Ayr ON N0B 1E0,11138.0,2940.0,4,0,4,3,1,3.5,1130000.0,2024-12-24,False,False,False
2,2_2,2,Average,40.0,True,Detached,Heidelberg ON N0B 2M1,29200.0,2365.0,3,0,3,2,1,2.5,1220000.0,2025-04-16,False,False,False
3,3_0,0,Fair,7.0,True,Detached,Kemptville ON K0G 1J0,80586.0,1571.0,3,0,3,2,0,2.0,812000.0,2025-02-20,True,False,False
3,3_1,1,Fair,14.0,True,Detached,Kemptville ON K0G 1J0,54014.4,1610.0,3,0,3,2,1,2.5,855000.0,2024-10-11,True,False,False
3,3_2,2,Average,49.0,True,Detached,Kemptville ON K0G 1J0,87120.0,1976.0,5,0,5,4,0,4.0,920000.0,2025-02-17,True,False,False
4,4_0,0,Fair,47.0,True,Condominium,Halifax NS B3M 3G7,,1048.0,2,0,2,1,0,1.0,380000.0,2025-04-15,True,False,False
4,4_1,1,Average,25.0,True,Condominium,Halifax NS B3S 1L4,,1553.0,2,0,2,2,0,2.0,475000.0,2025-02-18,True,False,False
4,4_2,2,Excellent,19.0,True,Condominium,Halifax NS B3M 4X5,,1483.0,3,0,3,2,0,2.0,520000.0,2024-12-13,True,False,False
5,5_0,0,Excellent,36.0,True,Detached,Dartmouth NS B2V 2P5,7726.0,2100.0,4,0,4,2,1,2.5,703850.0,2025-04-14,True,True,False
5,5_1,1,Average,45.0,True,Detached,Dartmouth NS B2V 1W3,7623.0,1688.0,3,0,3,1,1,1.5,620000.0,2024-12-13,True,True,False
5,5_2,2,Fair,39.0,True,Detached,Dartmouth NS B2V 2C3,9110.0,2298.0,3,0,3,2,1,2.5,662000.0,2024-11-18,True,True,False
6,6_0,0,Average,95.0,False,Semi-Detached,East York ON M4G 3G8,2604.0,1306.0,3,0,3,2,0,2.0,1680000.0,2025-03-31,False,False,False
6,6_1,1,Fair,77.0,False,Semi-Detached,East York ON M4G 2M8,3348.0,1334.0,3,0,3,2,0,2.0,1520000.0,2025-03-23,False,False,False
6,6_2,2,Average,81.0,False,Semi-Detached,Toronto ON M4P 2P5,1936.0,1120.0,3,0,3,2,0,2.0,1600000.0,2024-12-05,False,False,False
7,7_0,0,Average,3.0,False,Townhouse,Stittsville ON K2S 3A1,2992.0,1802.0,4,0,4,2,1,2.5,705000.0,2024-12-09,True,False,False
7,7_1,1,Good,4.0,False,Townhouse,Stittsville ON K2V 0M8,2893.0,2131.0,3,0,3,2,1,2.5,755000.0,2025-03-29,True,False,False
7,7_2,2,Good,5.0,False,Townhouse,Stittsville ON K2V 0M7,4230.0,1758.0,3,0,3,2,1,2.5,768800.0,2025-03-29,True,False,False
8,8_0,0,Fair,20.0,True,Condominium,Halifax NS B3M 4X5,,1816.0,2,0,2,2,0,2.0,720000.0,2025-02-24,True,True,False
8,8_1,1,Excellent,19.0,True,Condominium,Halifax NS B3N 0A3,,2206.0,2,0,2,2,0,2.0,900000.0,2024-11-21,True,True,False
8,8_2,2,Fair,17.0,True,Condominium,Halifax NS B3N 0A3,,1342.0,2,0,2,2,0,2.0,720000.0,2024-10-18,True,True,False
9,9_0,0,Good,3.0,False,Detached,Chestermere AB T1X 1Y8,,2367.0,4,0,4,3,0,3.0,860000.0,2025-04-07,True,False,False
9,9_1,1,Good,1.0,False,Detached,Chestermere AB T1X 2S6,,2614.0,5,0,5,4,0,4.0,890000.0,2025-02-08,False,False,False
9,9_2,2,Good,7.0,False,Detached,Chestermere AB T1X 0Y6,,2608.0,4,0,4,2,0,2.0,860000.0,2025-01-27,False,False,False
10,10_0,0,Good,21.0,True,Detached,Blind Bay NS B3Z 4C1,169884.0,2555.0,3,0,3,3,0,3.0,1189500.0,2025-01-25,True,True,False
10,10_1,1,Good,54.0,True,Detached,Head of St Margarets Bay NS B3Z 2G4,24650.0,1829.0,1,0,1,1,1,1.5,1653000.0,2024-12-19,True,True,False
10,10_2,2,Good,34.0,True,Detached,Glen Haven NS B3Z 2W4,59396.0,3024.0,3,0,3,2,1,2.5,1800000.0,2024-06-28,True,True,False
11,11_0,0,Excellent,25.0,False,Semi-Detached,Maple ON L6A 3J2,2433.0,1695.0,3,0,3,2,2,3.0,1105000.0,2025-03-09,False,False,False
11,11_1,1,Fair,24.0,False,Semi-Detached,Maple ON L6A 3J6,2647.0,1572.0,3,0,3,3,1,3.5,1045000.0,2025-04-02,False,False,False
11,11_2,2,Excellent,23.0,False,Semi-Detached,Maple ON L6A 3C3,2680.0,1489.0,3,0,3,3,1,3.5,1150000.0,2025-03-04,False,False,False
12,12_0,0,Excellent,4.0,True,Detached,Fall River NS B2T 0M2,131115.0,2354.0,3,0,3,2,1,2.5,1895000.0,2025-02-21,True,True,False
12,12_1,1,Excellent,44.0,True,Detached,Bedford NS B4A 3B2,11029.0,2494.0,4,0,4,3,0,3.0,1185000.0,2025-03-21,True,True,False
