property_id,subject_id,orderID,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data
4,0,4762597,Detached,Detached,Detached,1500.0,3,0,3,3,0,3.0,674000.0,2025-01-13,463 Conservatory Dr,Kingston,Ontario,K7M 9C8,44.2325,-76.5901,3555.5,,Unfinished,,Two,Forced Air,Central Air,False,,False,False,detached-indicator,False
5,0,4762597,"Detached, 2-Storey ",Detached,Detached,1750.0,3,0,3,0,0,0.0,674000.0,2025-01-13,463 Conservatory Drive ,Kingston ,Ontario,K7M 9C8,44.2325,-76.5901,3535.0,,Unfinished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
6,0,4762597,Freehold Townhouse,Freehold Townhouse,Townhouse,1500.0,3,0,3,4,0,4.0,585000.0,2025-01-14,311 Janette St,Kingston,Ontario,K7P 0K8,44.2622,-76.5904,2622.0,,Fin W/O,,Two,Forced Air,Central Air,False,,False,False,townhouse-indicator,False
7,0,4762597,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1300.0,3,0,3,0,0,0.0,585000.0,2025-01-14,311 Janette Street ,Kingston ,Ontario,K7P 0K8,44.2622,-76.5904,2622.0,,Finished with Walk-Out ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
8,0,4762597,Rural Resid,Rural Resid,Rural Property,,4,0,4,4,0,4.0,685000.0,2025-01-15,4056 Bath Rd,Kingston,Ontario,K7M 4Y4,44.2407,-76.6102,16672.0,,"Part Bsmt, Unfinished",,,Baseboard,,False,,False,False,rural-indicator,False
9,0,4762597,Detached,Detached,Detached,1300.0,3,0,3,2,0,2.0,495000.0,2025-01-15,786 HIGH GATE PARK Dr,Kingston,Ontario,K7M 5Z8,44.2489,-76.6045,6600.0,,Finished,,Two,Forced Air,,False,,False,False,detached-indicator,False
10,0,4762597,"Detached, Sidesplit 3 ",Detached,Detached,1300.0,3,0,3,0,0,0.0,495000.0,2025-01-15,786 HIGH GATE PARK Drive ,Kingston ,Ontario,K7M 5Z8,44.2489,-76.6045,6600.0,,Finished ,,Sidesplit 3 ,Forced Air ,,False,,True,False,detached-indicator,False
11,0,4762597,Detached,Detached,Detached,1250.0,5,0,5,2,0,2.0,567500.0,2025-01-17,784 Downing St,Kingston,Ontario,K7M 5N2,44.2492,-76.5968,7150.0,,Unfinished,,Two,Forced Air,Central Air,False,,False,False,detached-indicator,False
12,0,4762597,"Detached, Sidesplit 4 ",Detached,Detached,1300.0,4,0,4,0,0,0.0,567500.0,2025-01-17,784 Downing Street ,Kingston ,Ontario,K7M 5N2,44.2492,-76.5968,7150.0,,Unfinished ,,Sidesplit 4 ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
13,0,4762597,Detached,Detached,Detached,1880.0,4,0,4,3,0,3.0,681000.0,2025-01-21,593 Roosevelt Dr,Kingston,Ontario,K7M 8T7,44.2346,-76.5871,6936.0,,Finished,,One,Forced Air,Central Air,False,,False,False,detached-indicator,False
14,0,4762597,"Detached, Bungalow ",Detached,Detached,1817.0,4,0,4,0,0,0.0,681000.0,2025-01-21,593 Roosevelt Drive ,Kingston ,Ontario,K7M 8T7,44.2346,-76.5871,6936.0,,Finished ,,Bungalow ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
15,0,4762597,Detached,Detached,Detached,2000.0,4,0,4,3,1,3.5,807000.0,2025-01-23,657 Gwen Ave,Kingston,Ontario,K7P 0M2,44.2649,-76.5904,4038.0,,Fin W/O,,Two,Forced Air,Central Air,False,,False,False,detached-indicator,False
16,0,4762597,"Detached, 2-Storey ",Detached,Detached,2250.0,4,0,4,0,0,0.0,807000.0,2025-01-23,657 Gwen Avenue ,Kingston ,Ontario,K7P 0M2,44.2649,-76.5904,4028.0,,Finished with Walk-Out ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
17,0,4762597,Freehold Townhouse,Freehold Townhouse,Townhouse,1550.0,3,0,3,3,0,3.0,572999.0,2025-01-24,1341 TREMONT Dr,Kingston,Ontario,K7P 0M5,44.2661,-76.5911,2099.98,,"Finished, Full",,Two,Forced Air,Central Air,False,,False,False,townhouse-indicator,False
18,0,4762597,Apartment,Condo Apt,Condominium,1100.0,2,0,2,1,0,1.0,330000.0,2025-01-24,Unit 402 - 649 DAVIS Dr,Kingston,Ontario,L9P 1R2,44.254,-76.5675,,,,,,Baseboard,Window Unit,False,,False,False,condo-indicator,False
19,0,4762597,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1564.0,3,0,3,0,0,0.0,572999.0,2025-01-24,1341 TREMONT Drive ,Kingston ,Ontario,K7P 0M5,44.2661,-76.5911,2080.0,,"Finished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
20,0,4762597,"Condo Apartment, Apartment ",Condo Apartment,Condominium,1100.0,2,0,2,0,0,0.0,330000.0,2025-01-24,Unit 402 - 649 DAVIS Drive ,Kingston ,Ontario,K7M 8L4,44.2541,-76.5675,,,,,Apartment ,Baseboard ,Window Unit(s) ,False,,True,False,condo-indicator,False
21,0,4762597,Detached,Detached,Detached,900.0,2,0,2,2,0,2.0,542000.0,2025-01-25,1028 Bauder Cres,Kingston ,Ontario,K7P 1M6,44.2576,-76.5861,8250.0,40.0,Fin W/O ,,Bungalow-Raised ,Forced Air ,Central Air ,False,,False,False,detached-indicator,False
22,0,4762597,Detached,Detached,Detached,1750.0,3,0,3,4,0,4.0,740000.0,2025-01-25,1040 Earnhart St,Kingston,Ontario,K7P 3B9,44.2587,-76.6071,5650.0,,Finished,,Two,Forced Air,Central Air,False,,False,False,detached-indicator,False
23,0,4762597,"Detached, Bungalow-Raised ",Detached,Detached,900.0,3,0,3,0,0,0.0,542000.0,2025-01-25,1028 Bauder Crescent ,Kingston ,Ontario,K7P 1M6,44.2576,-76.5861,8250.0,,Finished with Walk-Out ,,Bungalow-Raised ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
24,0,4762597,"Detached, 2-Storey ",Detached,Detached,1750.0,3,0,3,0,0,0.0,740000.0,2025-01-25,1040 Earnhart Street ,Kingston ,Ontario,K7P 3B9,44.2587,-76.6071,5650.0,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
25,0,4762597,"Detached, 2-Storey ",Detached,Detached,1604.0,3,0,3,0,0,0.0,595000.0,2025-01-27,994 WESTMINSTER Place ,Kingston ,Ontario,K7P 1R1,44.2526,-76.5912,5635.0,,"Finished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
26,0,4762597,Detached,Detached,Detached,1850.0,3,0,3,4,0,4.0,745000.0,2025-01-28,2138 Balantrae Circ,Kingston,Ontario,K7M 9H8,44.2331,-76.5906,3845.06,,"Finished, Full",,Two,Forced Air,Central Air,False,,False,False,detached-indicator,False
