subject_id,subject_index,condition,age_years,age_uncertainty,effective_date,structure_type,lot_size_sqft,gla_sqft,bedrooms_raw,bathrooms_raw,municipality_district,has_lot_size_uncertainty,has_gla_uncertainty
0,0,Average,,False,Apr/11/2025,Townhouse,,1044.0,3,1:1,Kingston,False,False
1,1,Average,,False,Apr/17/2025,Detached,72745.0,1500.0,3,2:1,Halifax Regional Municipality - West Chezzetcook,True,False
2,2,Average,,False,May/01/2025,Detached,20174.0,3000.0,4,2:1,"Township of North Dumfries, Region of Waterloo",False,False
3,3,Good,,False,Apr/15/2025,Detached,54450.0,1283.0,2,3:0,"North Grenville, Ontario",False,False
4,4,Average,,False,Apr/17/2025,Condominium,,1530.0,3,2:0,Halifax Regional Municipality - Halifax,False,False
5,5,Average,,False,Apr/16/2025,Detached,6825.0,1746.0,3,2:1,"Halifax Regional Municipality - Cole Harbour, Dartmouth",False,False
6,6,Average,,False,Apr/16/2025,Semi Detached,3694.0,1602.0,2,3:0,"City of Toronto, Region of Leaside (C11)",False,False
7,7,Good,,False,Apr/14/2025,Townhouse,3358.0,1751.0,3,2F 1H,"Stittsville, City of Ottawa",False,False
8,8,Good,,False,Apr/15/2025,Condominium,,1523.0,2,2:0,Halifax Regional Municipality - Halifax,False,False
9,9,Good,,False,Apr/14/2025,Detached,5909.436,2456.0,4,2:1,"Chestermere, AB / Kinniburg",False,False
10,10,Excellent,,False,Apr/17/2025,Detached,42495.0,3332.0,5,2:1,Halifax Regional Municipality - Seabright,False,True
11,11,Average,,False,Apr/14/2025,Semi Detached,2619.0,1525.0,3,3:1,"Region of York, City of Vaughan",False,False
12,12,Average,,False,Apr/15/2025,Detached,26700.0,2895.0,4,2:2,Halifax Regional Municipality - Bedford,False,False
13,13,Average,,False,Apr/10/2025,Detached,5663.0,1678.0,3,2:0,Kingston,False,False
14,14,Good,,False,Apr/10/2025,Detached,33943.0,2264.0,4,2:1,Halifax Regional Municipality - Hammonds Plains,True,False
15,15,Good,,False,Apr/09/2025,Detached,5987.0,2530.0,3,3:1,"Stonebridge, City of Ottawa",False,False
16,16,Average,,False,Apr/14/2025,Detached,438082.92000000004,2149.0,4,3:1,"Region of York, Town of Whitchurch-Stouffville",False,False
17,17,Average,,False,Apr/10/2025,Townhouse,1742.0,1840.0,4,1:0,Kingston,False,False
18,18,Average,,False,Apr/15/2025,Detached,3250.0,1354.0,3,1:1,Halifax Regional Municipality - Lower Sackville,False,False
19,19,Good,,False,Apr/10/2025,Detached,4058.028,1573.4,3,2F 1H,"Calgary, AB / Cornerstone",False,False
20,20,Average,,False,Mar/24/2025,Detached,4639.284,839.592,2,2F,"Calgary AB, Parkdale",False,False
21,21,Good,,False,Apr/07/2025,Detached,6512.219999999999,2974.0,4,2 Full/1Half,"Edmonton, AB - Summerside",False,False
22,22,Good,,False,Apr/14/2025,Detached,3601.0,2956.0,4,3:1,"Avalon West, City of Ottawa",False,False
23,23,Good,,False,Apr/07/2025,High Rise Apartment,,1109.0,2,2F,"Calgary, AB / East Village",False,False
24,24,Good,,False,Apr/04/2025,Detached,3552.12,1580.0,3,2 Full/1Half,"Edmonton, AB - Allard",False,False
25,25,Good,,False,Apr/08/2025,Townhouse,1868.0,1587.0,3,3:1,"Chapel Hill, City of Ottawa",False,False
26,26,Average,,False,Apr/07/2025,Detached,6738.263999999999,968.76,2,2F,"Calgary AB, Renfrew",False,False
27,27,Good,,False,Apr/07/2025,Low Rise Apartment,,1039.0,2,2F,"Calgary, AB / Arbour Lake",False,False
28,28,Good,,False,Apr/16/2025,Detached,8191.4039999999995,2809.404,4,3F 1H,"Calgary AB, Rocky Ridge",False,False
29,29,Good,,False,Apr/07/2025,Condominium,,789.0,2,2:0,"Calgary, AB / Auburn Bay",False,False
30,30,Average,,False,Apr/09/2025,Detached,12600.0,1094.0,3,2:0,Queensland,False,False
31,31,Average,,False,Apr/08/2025,High Rise Apartment,,1176.0,2,2:0,"City of Toronto, Region of Waterfront Communities (C01)",False,False
32,32,Average,,False,Apr/08/2025,Townhouse,3253.0,1334.0,1,3F,City of Ottawa,False,False
33,33,Average,,False,Apr/09/2025,Detached,33661.0,2010.0,3,2:1,Halifax Regional Municipality - Lake Echo,False,False
34,34,Excellent,,False,Apr/07/2025,Detached,4929.911999999999,2647.944,5,4F,"Calgary AB, Livingston",False,False
35,35,Good,,False,Apr/11/2025,Detached,37374.0,1400.0,3,2:0,Halifax Regional Municipality - Head of Jeddore,False,False
36,36,Average,,False,Apr/09/2025,Detached,15936.0,864.0,3,1:0,LUNENBURG COUNTY - SIMMS SETTLEMENT,False,False
37,37,Average,,False,Apr/08/2025,Detached,3137.0,1774.0,3,3:1,"Longfields, City of Ottawa",False,False
38,38,Average,,False,Apr/09/2025,Detached,6300.0,1795.0,3,1:1,Halifax Regional Municipality - Halifax,False,False
39,39,Good,,False,Apr/08/2025,Duplex,14375.0,3137.0,5,3:2,Dartmouth,False,False
