property_id,subject_id,orderID,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data,gla_diff_sqft,gla_diff_pct,size_match_excellent,size_match_good,size_match_acceptable,bedroom_diff,bedroom_exact_match,bedroom_close_match,bathroom_diff,bathroom_exact_match,bathroom_close_match,structure_type_match,property_age,age_diff_years,age_similar,same_city,same_province,postal_fsa,subject_fsa,same_fsa,distance_km,distance_excellent,distance_good,distance_acceptable,days_from_effective,sale_very_recent,sale_recent,sale_acceptable,recency_score,sale_month,effective_month,same_season,price_per_sqft,subject_price_per_sqft_est,price_per_sqft_diff,price_per_sqft_diff_pct,price_psf_very_similar,price_psf_similar,price_psf_acceptable,city_price_percentile,city_psf_percentile,market_tier,subject_market_tier,same_market_tier,needs_size_adjustment,needs_location_adjustment,needs_time_adjustment,total_adjustments_needed,physical_score,location_score,temporal_score,market_score,composite_score,comparable_rank,comparable_quality,is_top3_comparable
28,0,4762597,Semi-Detached,Semi-Detached,Semi-Detached,1252.0,3,0,3,1,1,1.5,465000.0,2025-01-29,692 Truedell Rd,Kingston,Ontario,K7M 6T2,44.2462,-76.5788,3775.5,,"Full, Part Fin",,Two,Forced Air,Central Air,False,,False,False,semi-detached-indicator,False,208.0,19.923371647509576,0,1,1,0.0,1,1,0.0,1,1,0,,,0,1,1,K7M,K7M,1,1.7698110305091928,0,1,1,72,1,1,1,0.6,1,4,0,371.40575079872207,446.15384615384613,74.74809535512406,16.75388344166574,0,1,1,0.12903225806451613,0.27586206896551724,Lower,Middle,0,1,0,0,1,70,85,100.0,60,79.5,1,Good,1
32,0,4762597,"Condo Townhouse, 2-Storey ",Condo Townhouse,Condominium,1100.0,3,0,3,0,0,0.0,375000.0,2025-01-31,Unit 51 - 808 Datzell Lane,Kingston ,Ontario,K7M 7R6,44.25,-76.5903,,,Unfinished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,condo-indicator,False,56.0,5.363984674329502,1,1,1,0.0,1,1,1.5,0,0,0,,,0,0,1,K7M,K7M,1,1.9446123076839337,0,1,1,70,1,1,1,0.6111111111111112,1,4,0,340.90909090909093,446.15384615384613,105.2447552447552,23.589341692789958,0,0,1,0.06550218340611354,0.2072072072072072,Lower,Middle,0,0,1,0,1,85,60,100.0,35,75.5,3,Good,1
96,0,4762597,"Condo Townhouse, 2-Storey ",Condo Townhouse,Condominium,1100.0,3,0,3,0,0,0.0,400000.0,2025-03-21,1034 Craig Lane ,Kingston ,Ontario,K7M 7R8,44.249,-76.5911,,,Finished ,,2-Storey ,Forced Air ,,False,,True,False,condo-indicator,False,56.0,5.363984674329502,1,1,1,0.0,1,1,1.5,0,0,0,,,0,0,1,K7M,K7M,1,1.835168922107577,0,1,1,21,1,1,1,0.8833333333333333,3,4,1,363.6363636363636,446.15384615384613,82.5174825174825,18.495297805642632,0,1,1,0.08733624454148471,0.2747747747747748,Lower,Middle,0,0,1,0,1,85,60,100.0,60,78.0,2,Good,1
154,1,4762739,Single Family,Detached,Detached,1350.0,3,0,3,1,0,1.0,395000.0,2024-11-28,8426 Highway 7,Nova Scotia,Nova Scotia,B0J 2L0,44.7903,-63.1199,30719.0,1918.0,"Undeveloped, Full, Walkout",,2 Level,Forced Air,Forced Air,False,,False,False,detached-indicator,False,150.0,10.0,1,1,1,0.0,1,1,1.5,0,0,0,107.0,,0,1,1,B0J,B0J,1,6.322417112109355,0,0,1,140,0,1,1,0.2222222222222222,11,4,0,292.5925925925926,611.9318181818182,319.33922558922563,52.18542590873139,0,0,0,0.17079646017699116,0.10163339382940109,Lower,Upper,0,0,0,1,1,85,70,51.666666666666664,20,67.33333333333333,2,Good,1
155,1,4762739,Single Family,Detached,Detached,1320.0,3,0,3,2,0,2.0,378275.0,2024-12-06,569 West Jeddore Road,Nova Scotia,Nova Scotia,B0J 1P0,44.7584,-63.0603,92347.0,2013.0,"Undeveloped, Walkout",,Bungalow,"Baseboard, Heat Pump","Baseboard, Heat Pump",False,,False,False,detached-indicator,False,180.0,12.0,0,1,1,0.0,1,1,0.5,0,1,0,12.0,,0,1,1,B0J,B0J,1,2.4604448088528406,0,1,1,132,0,1,1,0.2666666666666667,12,4,0,286.5719696969697,611.9318181818182,325.35984848484856,53.169297431135874,0,0,0,0.14513274336283186,0.0925589836660617,Lower,Upper,0,1,0,1,2,55,85,53.0,10,59.1,3,Fair,1
167,1,4762739,Single Family,Detached,Detached,1472.0,3,0,3,2,0,2.0,545000.0,2025-05-02,Unit 7  East Petpeswick Road,Nova Scotia,Nova Scotia,B0J 2L0,44.7865,-63.1475,126952.0,,,,Bungalow,"Baseboard, Heat Pump","Baseboard, Heat Pump",False,,False,False,detached-indicator,False,28.0,1.866666666666667,1,1,1,0.0,1,1,0.5,0,1,0,,,0,1,1,B0J,B0J,1,8.392139092619491,0,0,1,-15,1,1,1,1.0,5,4,1,370.2445652173913,611.9318181818182,241.68725296442693,39.495781357232254,0,0,0,0.511504424778761,0.3411978221415608,Middle,Upper,0,0,0,0,0,85,70,100.0,30,78.0,1,Good,1
239,2,4763065,"Single Family Residence, Two Story ",Single Family Residence,Detached,2786.0,4,0,4,3,1,3.5,1195000.0,2025-02-07,Unit Lot 0032 - 162 Shaded Creek Drive ,Kitchener ,Ontario,N2P 0K7,43.3655,-80.4414,4000.0,,Unfinished ,,Two Story ,"Forced Air,  Natural Gas,  Heat Pump ","Energy Efficient,  Other ",False,,False,False,detached-indicator,False,214.0,7.133333333333333,1,1,1,0.0,1,1,1.0,0,0,0,,,0,1,1,N2P,N2P,1,1.1686975941880415,0,1,1,83,1,1,1,0.5388888888888889,2,5,0,428.9303661162958,485.3205512282804,56.390185111984636,11.619162833568192,0,1,1,0.9398148148148148,0.2336448598130841,Upper,Middle,0,0,0,0,0,85,85,100.0,70,86.5,3,Excellent,1
240,2,4763065,"Single Family Residence, Two Story ",Single Family Residence,Detached,2578.0,4,0,4,2,1,2.5,1135000.0,2025-02-07,900 Steepleridge Court ,Kitchener ,Ontario,N2P 2X4,43.3758,-80.4365,4223.0,2012.0,Finished ,,Two Story ,"Forced Air,  Natural Gas ","Central Air,  Humidity Control ",False,,False,False,detached-indicator,False,422.0,14.066666666666666,0,1,1,0.0,1,1,0.0,1,1,0,13.0,,0,1,1,N2P,N2P,1,0.4256584332929358,1,1,1,83,1,1,1,0.5388888888888889,2,5,0,440.2637703646237,485.3205512282804,45.056780863656684,9.283921884128766,1,1,1,0.8888888888888888,0.29906542056074764,Upper,Middle,0,1,0,0,1,70,100,100.0,100,88.0,2,Excellent,1
291,2,4763065,"Single Family Residence, Two Story ",Single Family Residence,Detached,2485.0,4,0,4,2,1,2.5,1155000.0,2025-03-24,931 Stonecliffe Walk ,Kitchener ,Ontario,N2P 2N1,43.3702,-80.4362,5880.0,2023.0,"Unfinished, Walk-Out Access ",,Two Story ,"Forced Air,  Natural Gas ",Central Air ,False,,False,False,detached-indicator,False,515.0,17.166666666666668,0,1,1,0.0,1,1,0.0,1,1,0,2.0,,0,1,1,N2P,N2P,1,0.4977816055054628,1,1,1,38,1,1,1,0.7888888888888889,3,5,1,464.7887323943662,485.3205512282804,20.5318188339142,4.230568596765778,1,1,1,0.9120370370370371,0.4672897196261682,Upper,Middle,0,1,0,0,1,70,100,100.0,100,88.0,2,Excellent,1
355,2,4763065,"Single Family Residence, 2.5 Storey ",Single Family Residence,Detached,3000.0,4,0,4,4,1,4.5,1275000.0,2025-05-05,955 Stonecliffe Walk ,Kitchener ,Ontario,N2P 0K5,43.3702,-80.4373,,,"Finished, Walk-Out Access ",,2.5 Storey ,"Forced Air,  Natural Gas ",Central Air ,False,,False,False,detached-indicator,False,0.0,0.0,1,1,1,0.0,1,1,2.0,0,0,0,,,0,1,1,N2P,N2P,1,0.5599456437729224,1,1,1,-4,1,1,1,1.0,5,5,1,425.0,485.3205512282804,60.32055122828041,12.429012345679013,0,1,1,0.9629629629629629,0.205607476635514,Upper,Middle,0,0,0,0,0,85,100,100.0,70,91.0,1,Excellent,1
