subject_id,comp_id,comp_index,condition,age_years,age_uncertainty,prop_type,city_province,lot_size_sqft,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,sale_price,sale_date,has_lot_size_uncertainty,has_gla_uncertainty,has_additional_bedrooms
0,0_0,0,,,False,,Kingston ON K7M 6V1,,,,,,,,,,,False,False,False
0,0_1,1,,,False,,Kingston ON K7M 6X7,,,,,,,,,,,False,False,False
0,0_2,2,,,False,,Kingston ON K7M 6X6,,,,,,,,,,,False,False,False
1,1_0,0,,,False,,Porters Lake NS B3E 1P3,,,,,,,,,,,False,False,False
1,1_1,1,,,False,,East Lawrencetown NS B2Z 1T6,,,,,,,,,,,False,False,False
1,1_2,2,,,False,,Head of Jeddore NS B0J 1P0,,,,,,,,,,,False,False,False
2,2_0,0,,,False,,Ayr ON N0B 1E0,,,,,,,,,,,False,False,False
2,2_1,1,,,False,,Ayr ON N0B 1E0,,,,,,,,,,,False,False,False
2,2_2,2,,,False,,Heidelberg ON N0B 2M1,,,,,,,,,,,False,False,False
3,3_0,0,,,False,,Kemptville ON K0G 1J0,,,,,,,,,,,False,False,False
3,3_1,1,,,False,,Kemptville ON K0G 1J0,,,,,,,,,,,False,False,False
3,3_2,2,,,False,,Kemptville ON K0G 1J0,,,,,,,,,,,False,False,False
4,4_0,0,,,False,,Halifax NS B3M 3G7,,,,,,,,,,,False,False,False
4,4_1,1,,,False,,Halifax NS B3S 1L4,,,,,,,,,,,False,False,False
4,4_2,2,,,False,,Halifax NS B3M 4X5,,,,,,,,,,,False,False,False
5,5_0,0,,,False,,Dartmouth NS B2V 2P5,,,,,,,,,,,False,False,False
5,5_1,1,,,False,,Dartmouth NS B2V 1W3,,,,,,,,,,,False,False,False
5,5_2,2,,,False,,Dartmouth NS B2V 2C3,,,,,,,,,,,False,False,False
6,6_0,0,,,False,,East York ON M4G 3G8,,,,,,,,,,,False,False,False
6,6_1,1,,,False,,East York ON M4G 2M8,,,,,,,,,,,False,False,False
6,6_2,2,,,False,,Toronto ON M4P 2P5,,,,,,,,,,,False,False,False
7,7_0,0,,,False,,Stittsville ON K2S 3A1,,,,,,,,,,,False,False,False
7,7_1,1,,,False,,Stittsville ON K2V 0M8,,,,,,,,,,,False,False,False
7,7_2,2,,,False,,Stittsville ON K2V 0M7,,,,,,,,,,,False,False,False
8,8_0,0,,,False,,Halifax NS B3M 4X5,,,,,,,,,,,False,False,False
8,8_1,1,,,False,,Halifax NS B3N 0A3,,,,,,,,,,,False,False,False
8,8_2,2,,,False,,Halifax NS B3N 0A3,,,,,,,,,,,False,False,False
9,9_0,0,,,False,,Chestermere AB T1X 1Y8,,,,,,,,,,,False,False,False
9,9_1,1,,,False,,Chestermere AB T1X 2S6,,,,,,,,,,,False,False,False
9,9_2,2,,,False,,Chestermere AB T1X 0Y6,,,,,,,,,,,False,False,False
10,10_0,0,,,False,,Blind Bay NS B3Z 4C1,,,,,,,,,,,False,False,False
10,10_1,1,,,False,,Head of St Margarets Bay NS B3Z 2G4,,,,,,,,,,,False,False,False
10,10_2,2,,,False,,Glen Haven NS B3Z 2W4,,,,,,,,,,,False,False,False
11,11_0,0,,,False,,Maple ON L6A 3J2,,,,,,,,,,,False,False,False
11,11_1,1,,,False,,Maple ON L6A 3J6,,,,,,,,,,,False,False,False
11,11_2,2,,,False,,Maple ON L6A 3C3,,,,,,,,,,,False,False,False
