property_id,property_index,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data,subject_id
0,0,Detached,Detached,,1500.0,,,,,,,674000.0,,463 Conservatory Dr,Kingston,Ontario,K7M 9C8,44.2325,-76.5901,3555.5,,Unfinished,,Two,Forced Air,Central Air,False,,False,False,,False,0
1,1,"Detached, 2-Storey ",Detached,,1750.0,,,,,,,674000.0,,463 Conservatory Drive ,Kingston ,Ontario,K7M 9C8,44.2325,-76.5901,3535.0,,Unfinished ,,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
2,2,Freehold Townhouse,Freehold Townhouse,,1500.0,,,,,,,585000.0,,311 Janette St,Kingston,Ontario,K7P 0K8,44.2622,-76.5904,2622.0,,Fin W/O,,Two,Forced Air,Central Air,False,,False,False,,False,0
3,3,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,,1300.0,,,,,,,585000.0,,311 Janette Street ,Kingston ,Ontario,K7P 0K8,44.2622,-76.5904,2622.0,,Finished with Walk-Out ,,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
4,4,Rural Resid,Rural Resid,,,,,,,,,685000.0,,4056 Bath Rd,Kingston,Ontario,K7M 4Y4,44.2407,-76.6102,16672.0,,"Part Bsmt, Unfinished",,,Baseboard,,False,,False,False,,False,0
5,5,Detached,Detached,,1300.0,,,,,,,495000.0,,786 HIGH GATE PARK Dr,Kingston,Ontario,K7M 5Z8,44.2489,-76.6045,6600.0,,Finished,,Two,Forced Air,,False,,False,False,,False,0
6,6,"Detached, Sidesplit 3 ",Detached,,1300.0,,,,,,,495000.0,,786 HIGH GATE PARK Drive ,Kingston ,Ontario,K7M 5Z8,44.2489,-76.6045,6600.0,,Finished ,,Sidesplit 3 ,Forced Air ,,False,,False,False,,False,0
7,7,Detached,Detached,,1250.0,,,,,,,567500.0,,784 Downing St,Kingston,Ontario,K7M 5N2,44.2492,-76.5968,7150.0,,Unfinished,,Two,Forced Air,Central Air,False,,False,False,,False,0
8,8,"Detached, Sidesplit 4 ",Detached,,1300.0,,,,,,,567500.0,,784 Downing Street ,Kingston ,Ontario,K7M 5N2,44.2492,-76.5968,7150.0,,Unfinished ,,Sidesplit 4 ,Forced Air ,Central Air ,False,,False,False,,False,0
9,9,Detached,Detached,,1880.0,,,,,,,681000.0,,593 Roosevelt Dr,Kingston,Ontario,K7M 8T7,44.2346,-76.5871,6936.0,,Finished,,One,Forced Air,Central Air,False,,False,False,,False,0
