property_id,subject_id,orderID,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data,price_per_sqft,property_age,has_year_built,has_basement,has_cooling,has_lot_size
4,0,4762597,Detached,Detached,Detached,1500.0,3,0,3,3,0,3.0,674000.0,2025-01-13,463 Conservatory Dr,Kingston,Ontario,K7M 9C8,44.2325,-76.5901,3555.5,,Unfinished,,Two,Forced Air,Central Air,False,,False,False,detached-indicator,False,449.3333333333333,,False,True,True,True
6,0,4762597,Freehold Townhouse,Freehold Townhouse,Townhouse,1500.0,3,0,3,4,0,4.0,585000.0,2025-01-14,311 Janette St,Kingston,Ontario,K7P 0K8,44.2622,-76.5904,2622.0,,Fin W/O,,Two,Forced Air,Central Air,False,,False,False,townhouse-indicator,False,390.0,,False,True,True,True
8,0,4762597,Rural Resid,Rural Resid,Rural Property,1417.0,4,0,4,4,0,4.0,685000.0,2025-01-15,4056 Bath Rd,Kingston,Ontario,K7M 4Y4,44.2407,-76.6102,16672.0,,"Part Bsmt, Unfinished",,,Baseboard,None,False,,False,False,rural-indicator,False,483.4156669019054,,False,True,False,True
9,0,4762597,Detached,Detached,Detached,1300.0,3,0,3,2,0,2.0,495000.0,2025-01-15,786 HIGH GATE PARK Dr,Kingston,Ontario,K7M 5Z8,44.2489,-76.6045,6600.0,,Finished,,Two,Forced Air,None,False,,False,False,detached-indicator,False,380.7692307692308,,False,True,False,True
11,0,4762597,Detached,Detached,Detached,1250.0,5,0,5,2,0,2.0,567500.0,2025-01-17,784 Downing St,Kingston,Ontario,K7M 5N2,44.2492,-76.5968,7150.0,,Unfinished,,Two,Forced Air,Central Air,False,,False,False,detached-indicator,False,454.0,,False,True,True,True
13,0,4762597,Detached,Detached,Detached,1880.0,4,0,4,3,0,3.0,681000.0,2025-01-21,593 Roosevelt Dr,Kingston,Ontario,K7M 8T7,44.2346,-76.5871,6936.0,,Finished,,One,Forced Air,Central Air,False,,False,False,detached-indicator,False,362.2340425531915,,False,True,True,True
15,0,4762597,Detached,Detached,Detached,2000.0,4,0,4,3,1,3.5,807000.0,2025-01-23,657 Gwen Ave,Kingston,Ontario,K7P 0M2,44.2649,-76.5904,4038.0,,Fin W/O,,Two,Forced Air,Central Air,False,,False,False,detached-indicator,False,403.5,,False,True,True,True
17,0,4762597,Freehold Townhouse,Freehold Townhouse,Townhouse,1550.0,3,0,3,3,0,3.0,572999.0,2025-01-24,1341 TREMONT Dr,Kingston,Ontario,K7P 0M5,44.2661,-76.5911,2099.98,,"Finished, Full",,Two,Forced Air,Central Air,False,,False,False,townhouse-indicator,False,369.6767741935484,,False,True,True,True
21,0,4762597,Detached,Detached,Detached,900.0,2,0,2,2,0,2.0,542000.0,2025-01-25,1028 Bauder Cres,Kingston ,Ontario,K7P 1M6,44.2576,-76.5861,8250.0,40.0,Fin W/O ,,Bungalow-Raised ,Forced Air ,Central Air ,False,,False,False,detached-indicator,False,602.2222222222222,1985.0,True,True,True,True
22,0,4762597,Detached,Detached,Detached,1750.0,3,0,3,4,0,4.0,740000.0,2025-01-25,1040 Earnhart St,Kingston,Ontario,K7P 3B9,44.2587,-76.6071,5650.0,,Finished,,Two,Forced Air,Central Air,False,,False,False,detached-indicator,False,422.85714285714283,,False,True,True,True
25,0,4762597,"Detached, 2-Storey ",Detached,Detached,1604.0,3,0,3,0,0,0.0,595000.0,2025-01-27,994 WESTMINSTER Place ,Kingston ,Ontario,K7P 1R1,44.2526,-76.5912,5635.0,,"Finished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False,370.9476309226933,,False,True,True,True
26,0,4762597,Detached,Detached,Detached,1850.0,3,0,3,4,0,4.0,745000.0,2025-01-28,2138 Balantrae Circ,Kingston,Ontario,K7M 9H8,44.2331,-76.5906,3845.06,,"Finished, Full",,Two,Forced Air,Central Air,False,,False,False,detached-indicator,False,402.7027027027027,,False,True,True,True
28,0,4762597,Semi-Detached,Semi-Detached,Semi-Detached,1252.0,3,0,3,1,1,1.5,465000.0,2025-01-29,692 Truedell Rd,Kingston,Ontario,K7M 6T2,44.2462,-76.5788,3775.5,,"Full, Part Fin",,Two,Forced Air,Central Air,False,,False,False,semi-detached-indicator,False,371.40575079872207,,False,True,True,True
30,0,4762597,Detached,Detached,Detached,1300.0,3,0,3,2,0,2.0,595000.0,2025-01-30,728 Sussex Blvd,Kingston,Ontario,K7M 5B1,44.2467,-76.5959,7800.0,,"Part Bsmt, W/O",,3.0,Forced Air,Central Air,False,,False,False,detached-indicator,False,457.6923076923077,,False,True,True,True
32,0,4762597,"Condo Townhouse, 2-Storey ",Condo Townhouse,Condominium,1100.0,3,0,3,0,0,0.0,375000.0,2025-01-31,Unit 51 - 808 Datzell Lane,Kingston ,Ontario,K7M 7R6,44.25,-76.5903,1888.8,,Unfinished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,condo-indicator,False,340.90909090909093,,False,True,True,False
